kanji,meaning,onyomi,kunyomi,radicals,radical_names,meaning_story,meaning_hint,reading_story,reading_hint,tags
批,criticism,ひ,-,比,"Compare, Nailbat","A nailbat can be useful when you compare criticism to praise. Hitting a person in the face with a nailbat is something that will be met with criticism, not praise.","Feel yourself smashing someone’s face with a nailbat. This person didn’t deserve what you did, so you’re sure to face fierce criticism for your acts. Hear the man’s scream as blood spews forth from his features.","The blood from the nailbat wound sprays onto your body. It’s very warm and you can feel the heat (ひ) from the fresh blood. Feel this heat as the blood trickles down the length of your body. You’re insane, and you’re going to face a lot of criticism for doing what you done did.","Again, feel this blood moving down your body and feel the heat coming off of it.",kanji level21
断,cut off,だん,"ことわ, た","L, 米, 斤","Lion, Rice, Axe",A lion harvesting rice uses an axe to cut off the tops of the stalks. The lion is roaming the rice fields using his axe to harvest the rice. He does so by cutting off the part of the rice stalks he needs.,"Picture this lion on his hind legs, walking through a rice field. He’s holding an axe in one hand and acting like a human. See him cut off the plants and hear the whoosh of the axe as he cuts.",This lion’s name is Dan (だん). He’s Dan the harvesting lion man. He swings his might axe to cut off the rice for harvest. Dan is the best lion farmer in the history of ever.,See Dan in his farmer’s uniform. He even has the name Dan embroidered on his jacket. See Dan frolick through the rice fields as he swings his axe about merrily.,kanji level21
任,duty,にん,まか,"王, ｲ","King, Leader","Both a leader and a king have a duty to protect their people. A good leader always protects his followers, and a good king always protects his subjects. This is their duty.","Imagine yourself being protected by your king and leader. They don’t really like you, but it is their duty to protect you. See them fighting off evil doers and taking bullets for your sake.","You’re the village nincompoop (にん), but the king and the leader still have a duty to protect you. Even a nincompoop is important to the kings and leaders of the world.","You’re a nincompoop. Even though you’re so nincompoopy, your king and leader still have a duty to protect you. Feel happy and content, despite your nincompoopery.",kanji level21
素,element,"す, そ",-,"生, 糸","Life, Thread","The life thread is an element essential to all living things. This thread of life joins all things together, providing an essential relationship between all life. This element is all that holds this world together.","Visualize this invisible thread of life, interconnecting all living things. Without this element in our world, everything would fall apart and into chaos.",But how do you feel about this thread? You think it's just so-so (そ). The element known as life isn't all that big of a deal. But what can you make out of this thread? You can create a suit (す) made exclusively from this thread. It’s the most impressive suit of all time. Far more impressive than that thread that was just so-so.,Imagine yourself wearing this exquisite suit. Feel the so-so thread in your hands. How could such a so-so thing like this thread turn into such an awesome suit? Skill.,kanji level21
敵,enemy,てき,"かな, かたき",夂,"Winter, Mohawk",Seeing a mohawk in the winter means the enemy is nearby. You are from the dreadlock tribe and the mohawk tribe is your enemy. You’re deep in the heart of battle and winter has fallen. Now is the time to take out the enemy.,"Picture yourself holed up in a winter encampment, waiting to strike at the mohawk wearing enemies. Feel the cold around you as you scan the horizon for mohawks.","You’re kind of a techie (てき), so you have an advantage over your enemy. You’re armed with night vision goggles and other cool tech gear as well. Being a techie certainly has its advantages.",Imagine yourself all teched out like the techie you are. Hear the beeps and boops of all the technology you have at your disposal as you search for more mohawk enemies.,kanji level21
設,establish,せつ,もう,"言, 殳","Say, Ikea","If you say ""IKEA"" an IKEA will be established in your neighborhood the next year.","You try it out. You say ""IKEA"" and sure enough, an IKEA falls from the sky and establishes itself next to you.","You go into the IKEA you've established. It's great, everything comes in sets (せつ). Chairs, tables, everything! Sets sets sets sets sets.","You say the word ""IKEA"" again, and it creates another IKEA. Now IKEA can come in sets.",kanji level21
評,evaluate,ひょう,-,"言, 平","Say, Peace","You should say your peace before you evaluate a situation. That way everyone will know where you’re coming from. If you’re honest and say your peace before you evaluate a situation out loud, everyone will know where you stand.",What situation would you like to evaluate? Be sure to say your peace before doing so. Imagine yourself doing this out loud and think of what you would say.,"While you say your peace, you end up making a really bad pun and you hear somebody say “Heyo!” (ひょう) You look at the people around you and try to evaluate who said heyo, but you can’t tell. You start talking again when somebody exclaims “That’s what she said” and another person shouts “Heyo!”once again, but you still can’t evaluate who’s saying these things.",Imagine yourself trying to explain a situation you’re about to evaluate and your audience keeps shouting “Heyo!” every other sentence. Imagine how frustrating that would be. Get angry at your rude audience and how much they shout “Heyo.”,kanji level21
検,examine,けん,-,木,"Tree, Squid","A tree is something a squid will never examine. The squid lives in the ocean. The tree lives above water on land. Therefore, the squid will never get close enough to a tree to examine it.",Examine this squid. See into his mind and experience his sadness at never being able to examine a tree in his life. How saddening.,"However, Ken (けん) from Street Fighter reaches into the sea and rips the squid out of the water, marches it over to a tree and throws the squid at it shouting “Hadoken!” Ken has brought this squid to a tree and now the squid is free to examine it.","Unfortunately the squid can’t live without water, so it soon dies. See Ken sobbing and crying once he realizes what a foolish thing he has done.",kanji level21
岡,hill,-,おか,"一, 山, 冂","Ground, Mountain, Head, Horns","You have a scene going on inside your head. It is of a pair of horns on the ground atop a mountain. No. It is not just one pair of horns. It is many. So many that they create a giant hill atop the mountain, which is already pretty high.",Imagine this hill of horns on top of this mountain. This hill of horns makes it possible for you to get just high enough to touch the top of the sky.,"How was standing atop this hill of horns on top of a mountain to touch the sky? Eh. It was okay (おか), but that's about it.",Feel indifferent about this hill of horns on top of the mountain. It's all in your head anyways.,kanji level21
増,increase,ぞう,"ふ, ま","土, 曽","Grave, Mask","Near a grave you put on a mask to increase the fear felt by others who see you. Graves are kind of scary as it is, but somebody with a mask on will only increase the fear felt.","Imagine seeing someone in a mask by a grave. Your feelings of unease would probably increase, right? Feel your anxiety increasing as you see this creepy guy in a mask hovering over a grave.","To increase his zone (ぞう) of terror, this creepy dude puts on an even bigger mask which makes his zone of influence that much larger. How much can the terror increase?","Visualize this in your head. The mask he is wearing is increasing in size at an alarming rate, increasing the zone of horror as it grows. Feel fear as this terrifyingly large mask looms over you.",kanji level21
査,"inspect, investigate",さ,-,"木, 目","Tree, Eye","If a tree is growing out of a top hat you need to inspect it to find out why and how this happened. You should probably investigate the area too. I mean, how could a tree grow out of a top hat anyway? Seems suspicious.",Inspect the tree. Inspect the top hat. Did you find anything?,"In the middle of your inspection you realize you need to saw (さ) the tree open to come to a good conclusion. This seems a bit unnecessary, but no! No! For the sake of this investigation you must saw the tree in half!",Imagine stopping to inspect the tree after each minute of sawing. You'll find out why it's growing out of a top hat! Eventually!,kanji level21
判,judge,はん,-,半,"Half, Ribs","When half of your ribs are gone, I have the right to judge your addiction to bone amputations. One or two was okay, but removing half of your ribs? I’m going to judge you for that. You’re weird and strange and everybody is going to judge you.",Imagine you had half your ribs removed for no reason. Everyone would judge you as there was no good reason for you doing so. Imagine how strange your body would feel if you were missing half your ribs.,"There’s perhaps only one way for people not to judge you for having half your ribs removed. That would be if you were Han (はん) Solo. Han Solo is so cool that nobody would ever judge him for doing anything. Also, keep in mind that this kanji contains 半, and also shares its reading. How helpful!","Picture Han Solo missing half his ribs. You feel the need to start judging him, but he’s just so cool you can’t bring yourself to do it. Imagine Han Solo awkwardly running around without half his ribs, shooting his gun and yelling at Chewbacca to fire up the engines on the Millennium Falcon.",kanji level21
審,judge,しん,-,"宀, 番","Helmet, Number","A helmet with a number on it identifies which judge you are talking to. In this world, all judges have to wear special helmets with numbers on them while they judge you so they can be identified. The helmets protect their little judge heads and the numbers are to make sure no one mixes them up.",See this judge wearing his judge helmet as he pounds his judicial gavel for order. Think of what you did to end up in this court of his.,Apparently this judge is not happy with you. He decides to judge you with violence. He leaps out from behind his stand while clutching his gavel and smashes you in the shin (しん) with it. “Criminal!” he shouts as he knocks you in the other shin. “You deserve to die!”,Your shin really hurts. Why would this judge hit you in the shin? Did he go crazy? Feel how badly each of your shins hurt from being struck by this mad judge.,kanji level21
件,"matter, affair",けん,-,"牛, ｲ","Cow, Leader",The leader of the cow tribe is too important to deal with small matters and trivial affairs. The cow leader had his underlings take care of such affairs and matters. The cow leader is above such things.,Picture this hoity-toity cow leader who thinks he’s too good for small matters and affairs. See him acting all fancy like he’s better than everyone else. The cow even moos with a fake British accent. How pretentious.,"The latest affair that the cows have had to deal with is Ken (けん) the farmer. As a cow farmer, he obviously wants to slaughter all the cows to harvest their meat.","Imagine the cows getting together and trying to figure out a solution to this whole mess. Imagine drawings and diagrams of Ken the farmer. Also imagine the Cow leader sitting off to the side, thinking he's too important to help with these matters and affairs.",kanji level21
際,occasion,さい,きわ,"癶, 示","Tent, Jackhammer, Butcher","A butcher goes in his tent to get a jackhammer for the occasion. The occasion is that he has to butcher a rock animal. No butcher knife will butcher this rock beast, so the butcher must use a jackhammer from his tent.",Watch as this butcher uses a jackhammer to butcher this animal on this special rock animal feast occasion. Hear the jackhammer rattling about as the butcher carves the beast.,"In this particular occasion, the butcher is a mighty Cyclops (さい). He actually slayed the rock beast himself, and now the Cyclops butcher is carving it up with his mighty jackhammer.",See this Cyclops butcher as he continues to carve the beast with his one eye. Continue to hear the jackhammer ringing in your ears as you watch the Cyclops butcher do his work.,kanji level21
企,plan,き,くわだ,止,"Stop, Hat","The hat comes to a stop, thinking of a plan. The hat had been pacing around for a while, trying to think of how to get off the head he's resting upon and back into the house where it's nice and cozy, and came to the sudden realization of a plan. This caused the hat to stop.","Imagine a hat walking about on your head, pacing back and forth deep in thought. See the hat stroke its chin in contemplation as it tries to think up a plan to get off your noggin and back inside.","The plan that made this hat stop right in its tracks was very simple. First, obtain the key (き) to the house. Then, use the key to get in the front door. How simple!",Watch as the hat begins to grin. This plan is so simple it’s sure to work. Now watch as the hat obtains the key and enters the locked door. What sort of mischief will the hat get into once inside?,kanji level21
挙,raise,きょ,あ,"ハ, 一, 手","Fins, Ground, Hand, Grass","If there’s grass on the ground and fins in your hand, you need to raise that hand up to the sky. You’re in the middle of a fisherman’s ritual, which can only be performed on grassy ground. You take fish fins from the previous year, and raise them up to the sky in order to ensure a good fishing harvest.",Feel the grass in your toes and the fins in your hand as you raise them up to the sky. See the sun glistening off the fins as you raise them up in the air.,This ritual only works in one part of the world however. It absolutely must be performed in Little Kyoto (きょ). The way Little Kyoto lines up with the sun and the sky and all that astrological junk makes it the best place for you to raise fish fins up in the air.,"Imagine yourself going through the same process as before, only this time imagine yourself in Little Kyoto. Little Kyoto is really little, so make sure you're in the right spot.",kanji level21
認,recognize,にん,みと,"丶, 刀, 心, 言","Drop, Sword, Heart, Say","They say a sword will cause drop upon drops of blood to spill from your heart once you recognize you’ve been stabbed. Getting shanked in the heart by a sword will surely cause at least one drop of blood to spill from you, but first you must recognize that you’ve actually been stabbed.",Look down at your chest. Recognize that you’ve been stabbed in the chest with a sword. It hurts a lot. See the first drop of blood eke out of your heart and down your chest.,"You nincompoop (にん), how did you not recognize that you were about to be stabbed? That guy came at you from like a mile away. And slowly! You had plenty of time to recognize they were going to stab you and you did nothing about it. You silly nincompoop.",You got stabbed in the heart with a sword for no good reason. It could have easily been avoided. Recognize that you are a huge nincompoop and you should feel bad.,kanji level21
資,resources,し,-,"貝, 次","Clam, Next","The next clam will be yours, but this clam will be mine. These are the resources we have to share and distribute. If we don't distribute them this way (next one is yours, this one is mine) we may all starve to death. Would you want that?","Imagine a pile of clams. Above them is a sign that says resources on it. You are thinking, why do I get the next one and not this current one? What's up with that? The guy distributing them is obviously corrupt and greedy, so feel upset about that and his way with resources.","Now, who is the evil man distributing these resources? Imagine him to be Charlie Sheen (し), the terrible resources distributor. He is taking all the clams and tiger blood for himself!","Now imagine what happened in the meaning mnemonics again, this time with Charlie Sheen as the resources distributor.",kanji level21
義,righteousness,ぎ,-,義,Righteousness,The kanji and the word are exactly the same. That means they share meanings as well.,"If you know the radical, you will know the kanji as well!","Such righteousness! Well, at least according to the king who thinks he's being righteous. His version of righteousness is to send anyone who disagrees with him to the guillotine.","THIS IS NOT RIGHTEOUSNESS! you yell, just before the guillotine comes down on your neck.",kanji level21
権,rights,けん,-,"木, 矢, 隹","Tree, Arrow, Turkey","Under the tree lays a turkey with a broken arrow in it. The police finally have stopped this evil turkey by shooting it with an arrow. Before it dies, the last thing they do is read it its rights.","Picture the police officer reading this turkey its rights. In fact, say the rights out loud (make something up) to the turkey in your head. You are the police officer who shot this dying turkey, so you have to read it its rights.","Whats your name, turkey?' you ask. You have to include the turkey's name in the rights or it's not official. The turkey responds: Ken (けん)... I am Ken the turkey.","Now re-read the rights to the turkey, using his name.",kanji level21
派,sect,は,-,厂,"Cliff, Tsunami, Tofu","A tsunami hits the cliff on which the tofu sect is living. The sect chose to live on this cliff to be closer to the tofu deity in the sky, but now their lives are in danger from the tsunami.",Picture this sect of tofu lovers up on their cliff. Smell the tofu in the air as you observe them worshipping the tofu as a tsunami crashes against the cliff. Hear the splash of the waters as water droplets rain down from overhead.,Riding up along with the tsunami is a gigantic hammerhead (は) shark. The hammerhead has a taste for tofu and plans to eat all of it once it rides the tsunami up to the cliff. The sect won’t know what hit them.,"It’s very strange for a hammerhead to have a taste for tofu, but this hammerhead does. Imagine the hammerhead thrashing around as it devours every crumbly block of tofu in sight.",kanji level21
務,task,む,つと,"力, 夂, 矛","Power, Winter, Soldier","A soldier in winter gains power when he completes a task. Each task he completes grants him experience points which in turn grant him power. Currently, the soldier is fighting a winter battle, so he can use all the power he can get.","Imagine yourself as this soldier, running around doing task after task. You need all that experience to level up! Feel the cold winter air around you and hear the crunch of snow beneath your feet.","Your next task is to kill a cow. Being a soldier, this is no problem for you. You sneak up on a cow and power-stab it to death. The cow shrieks in agony as it perishes, “Moo (む)… moooo~!”",See yourself stabbing this cow to death. Hear the sound of its flesh being stabbed as it moos out in pain. “Moo! Moo… moo…”,kanji level21
税,tax,ぜい,-,禾,"Pine, Guard",You're climbing a pine tree when a guard comes up and tells you that you have to pay a tax. You've climbed lots of trees and you've never been taxed for it before. This guard does look pretty serious though...,What would you do if a guard told you there is a pine tree tax? Would you believe him? Would you pay it?,"You're thinking about this tax when you hear someone shout, ""Vat did you zay (ぜい)?"" German Hard Gay comes sliding down the tree. ""Zer iz no tax! Don't listen to vat he zays!"" He leaps over the guard and runs off. Without paying the tax.","Listen to Hard Gay say Zei Zei Zei in the distance as you pay the tax. He didn't have to, but the guard made you pay it.",kanji level21
解,untie,かい,と,"牛, 刀, 角","Cow, Sword, Angle","Look at it from this angle – if we stick the sword in the cow, and untie the rope around the door, we’ll be able to solve this puzzle. You’re in a strange room and there is a cow blocking the exit. There’s a sword on the ground, and the handle on the door is tied shut with a rope. I think the only way to solve this problem is to kill the cow with the sword to get it out of the way, and then untie the rope holding the door shut.",Imagine yourself walking through the steps of this puzzle you must solve. Feel the cold steel of the sword as you plunge it into the cow’s heart to kills it. Feel the coarseness of the rope as you untie it from the door.,"When you make it through the door after you untie the rope and solve this room’s puzzle, you see a coyte (かい) on the other side. The coyote looks menacing and lunges out at you. Using the sword in your hand, you cut down the coyote. It falls over dead.","Good thing you were still carrying that sword, huh? That coyote almost got you. See yourself stabbing the coyote to death and listen to it yelp as its life leaves its body.",kanji level21
総,whole,そう,-,"心, 糸, 公","Heart, Thread, Public","Taking out a thread in public, you sew a broken heart back up to make it whole. You’re a hero! Someone suffered a broken heart in the middle of a public gathering, and you’re the only doctor available. Taking action, you use a thread to sew the heart back up and make it whole once again.",Imagine yourself wrist deep in someone’s chest cavity as you sew their heart back up to make it whole. Feel the warmth of their open body as you do your work.,"What do you do to make this heart whole? That’s right, you sew (そう) it. You sew this heart to make it whole. It was busted, and now you sew it with thread to make it a whole heart once again.",Now you have to sew the chest back up to close the heart inside since it’s been made whole once again. Imagine the person you saved thanking you profusely as you sew his chest back up again.,kanji level21
援,"aid, assist",えん,-,,"Nailbat, Football","Using a nailbat while you play football can aid in the assist of defending the ball carrier. Using the nailbat is like, super illegal as far as football rules go, but there’s no doubt that it would assist in tackling and knocking others to the ground.","Picture yourself playing football with this nailbat. You hear the ball being hiked and feet scuffling all around. Wanting to aid your team and help assist a touchdown, you start cracking skulls with your nailbat. Hear the crunch as you bash other players with the nailbat. Hear their screams as they fall to the ground all around you.",This nailbat was made from the wood of an ent (えん). Ents are composed of very strong wood. A nailbat made out of such a material is very strong. This proves a great aid in your defensive ability on the football field. You manage to assist in many touchdowns because of it.,Remember yourself crafting this nailbat out of an ent. You cut the branch from a live ent so he wasn’t too happy with you. Hear the leafy scream of the ent as you carve your nailbat out of one of his arms.,kanji level22
態,appearance,たい,わざ,"心, 能","Heart, Ability","You have a great ability because your heart gives you the appearance of a superhuman. Your heart is really strong and powerful, fuelling your body to the best of its ability. All this together gives you the appearance of someone in top condition.",See yourself in this ideal appearance. Everyone loves to look at you because you look so awesome. Your heart has given you many great abilities. Feel strong and powerful in this body of yours.,"While you may have the appearance of someone who is super strong, powerful, and awesome, you do have one shortcoming. You don’t know how to tie (たい) a tie. Actually, you don’t even know how to tie your shoes, let alone your tie. How embarrassing.","Since you don’t know how to tie a tie or tie your shoes, you wear slip ons and clip ons. Hear the noise of Velcro being undone as you kick off your shoes and unclip your tie after a hard day’s work at the office.",kanji level22
誕,birth,たん,-,"言, 廴, 正","Say, Big Bird, Correct","They say Big Bird has always been correct since birth. Big Bird cannot tell a lie. Since birth, he’s been correct all the time they say.",Picture Big Bird. Now imagine him saying “I cannot tell a lie.” Big Bird is always correct. He’s been that way since birth.,"Another thing Big Bird has been doing since birth is tan (たん). Big Bird loves to tan. He says it is good for his skin. If Big Bird says it, and Big Bird is always correct, then this must be true. Getting a tan is good for Big Bird.","Picture Big Bird lying out in the sun to get a tan. See him with sunglasses and a tanning mirror to reflect the rays. He’s been doing this since birth, so he’s a pretty accomplished tanner.",kanji level22
状,condition,じょう,-,犬,"Dog, Nailbat","Using a nailbat to hit a sick dog will definitely worsen its condition. You take a nailbat in your hand, swing it, and hit your sick dog. The dog’s condition has just gone from bad to worse.","Do you have a dog? Imagine hitting your dog with a nailbat. Even worse, your dog was sick and in bad condition, and now you’re hitting it with a nailbat. Hear your dog squeal in agony as you hit it with the nailbat, further worsening its already dire condition.",You are actually Joseph (じょう) Stalin and you care not for the condition of this dog so you continue to beat the dog with your nailbat. Joseph Stalin isn't a very caring fellow.,"The dog is already in terrible condition. Why are you still hitting it, Joseph Stalin? Imagine what the the dog possibly could have done to warrant such terrible behavior on your part. Perhaps you’ve gone insane, Joseph Stalin? Continue to hear the dog moaning in pain as you whack it again and again with the nailbat.",kanji level22
賀,congratulations,が,-,"口, 力, 貝","Mouth, Power, Clam","The power of the mouth of a clam deserves congratulations. I mean, have you ever tried to open a clam? They’re strong. That clam mouth has a lot of power. Definitely worthy of congratulations.","Imagine yourself trying to open a clam. You struggle to open its mouth but the clam’s power is too great. Congratulations clam, you’ve won.","After you give the clam a hearty congratulations for his mighty power, you start to break down and cry like the little baby you are. “Goo goo… ga (が) ga…” It’s really embarrassing. Stop acting like a little baby, you baby. Go and goo goo ga ga somewhere else, you’re embarrassing the rest of us with your presence.","Since your friends have abandoned you, imagine yourself crying like a whiny little baby after your defeat. Actually pretend to wipe away tears as you say goo goo ga ga out loud. Go ahead – do it.",kanji level22
各,each,かく,おの,各,Kiss,You kiss each of your best pals to show them how much you love and care for them. You kiss each friend right on the mouth.,Imagine kissing each of your best friends on the mouth. Does this make you uncomfortable? Excited? Both? Feel that feeling.,"Actually, each of your best pals are of the cock (かく) variety. By that, I mean they are both roosters. Imagine kissing both of these cocks on their beaks.",Kissing the cock beak is kind of a strange experience. Feel the feathers in your hands as you steady the cock to kiss it. Cock-a-doodle-doo!,kanji level22
費,expense,ひ,つい,貝,"Clam, Slinky","On a slinky rides a clam who spares no expense for travel. The slinky is the most high-end and sought after mode of transportation for clams. They get on one end and then slinky at breakneck speed to their destination. They’re also very expensive, but this particular clam spares no expense for travel.",Visualize this opulent clam as he rides his slinky around town. Where is he going? How can he afford such an expense? Hear the sound of this slinky slinking around as you contemplate.,"Since the clam spared no expense and bought the best slinky clam money could buy, he is now the most famous and fastest clam in all the land. The slinky has turned him into a sort of clam superhero (ひ). Being a superhero has its downsides though. The clam has to always help people out and like, do good and stuff. The life of a superhero can be hard.",Now picture the clam in his superhero outfit. Imagine a clam with a mask and tights on as he speeds to the rescue on his super-fast slinky.,kanji level22
姿,figure,し,すがた,"女, 次","Woman, Next","“Bring in the next woman so that I may examine her figure!” We’re holding auditions for a commercial and we need to find a woman with a nice figure. The last woman was no good, so bring in the next one.",Imagine yourself as a figure judge on this panel. You need to find a woman with the perfect figure to cast in your commercial.,The next woman comes in. You examine her figure. She (し) is perfect. She is the one. She has the perfect figure and she shall be the star of the commercial.,Picture the most perfect figure a woman can have. She is perfect. Picture her. Now imagine her dancing about and showing off her figure for you.,kanji level22
勢,force,せい,いきお,"力, 丸","Power, Circle, Womb","The womb is a circle of power where a force of nature is formed. The womb has the power to create life. Life is a force of nature, and the circle of life starts in the womb.",Imagine yourself in the womb. You’re being born into the world. Feel the force and energy of your mother around you. Hear the sound of water as you float about in the womb. Force yourself to breathe the fluid and imagine yourself doing so.,"Now pretend you are the pregnant woman. You need to force that baby out of you with such force that the baby comes flying out. Your favorite TV show is on and you need to get this baby out of your womb pronto. Suddenly the door busts open ad Dr. Hard Gay busts in. “Sei (せい), sei, sei! Who’s ready to birth a baby!?” he shouts. “Sei, sei, sei~!”","Your doctor is Hard Gay. Do you feel safe in his hands? Imagine Hard Gay with his hands down by your bits as you try and force a baby out of you. You feel very uncomfortable and he just will not stop shouting “Sei, sei, sei.” Worst pregnancy ever.",kanji level22
示,indicate,"じ, し",しめ,示,Jackhammer,"You can use a jackhammer to indicate and show someone where the prize is buried. You buried the prize to keep it safe, but the jackhammer is great at unearthing it. Jackhammers do a great job and show where the treasure lies. They indicate quite clearly where one needs to go.",Imagine using this jackhammer to show someone where the prize is buried. Feel the vibrations through your hands and the rest of your body.,"Actually, you're unearthing Jesus (じ). He’s the treasure. For your soul. He’s here to show you that Jesus is still a hip and cool guy and he wants to indicate to you that having faith in Jesus and God and stuff is super rad. Jesus is all like, “Who has two thumbs and wants to show you the way of the Lord? This guy.”","Picture Jesus getting all over the top and super preachy about his religious beliefs. He’s doing everything he can to indicate to the crowd that he’s the best, and show them how cool he is. Listen to Jesus preach to the crowd, desperate for their attention.",kanji level22
寝,lie down,しん,ね,"又, 冖, 宀, ヨ","Stool, Forehead, Helmet, Wolverine, Nailbat","You’re wearing a helmet and wielding a modified nailbat, but Wolverine can still stab you in the forehead while sitting in a stool, causing you to lie down. Nothing can protect you from Wolverine, not even a helmet and a nailbat, not even a specially designed modified nailbat like this one. You think you might be safe because he’s sitting in a stool, but no, he still manages to stab you in the forehead. Now you have to lie down because you’re too wounded to stand.",Feel the pain in your forehead as you lie down. Wolverine just stabbed you in the brain. It hurts. Feel the blood flow over your face as you lie down in agony. (Remember it’s a modified nailbat as the nailbat radical in this kanji is slightly modified.),"You hear a horse neigh (ね) in the distance, followed by the sound of galloping approaching you. This can’t be good. All you want to do is lie down and nurse your wounds, but there appears to be a horse charging at you. Wolverine is riding it. You hear another neigh as the horse draws closer.","All you want to do is lie down, because you got stabbed in the forehead. Now imagine yourself getting trampled by a horse. Hear Wolverine laugh and the horse neigh as you get trampled by the mad horse.",kanji level22
営,manage,えい,いとな,呂,"Bathtub, Viking","If a Viking is in a bathtub, there’s no way you’ll manage to get him out. That Viking is in the bathtub and that’s where he aims to stay. There’s no way you’re ever going to manage to move this stubborn Viking.","Picture yourself standing on the edge of the bathtub, struggling to get this Viking out of the bathtub. It’s impossible. You’ll never manage to get him out of there! Make sure to really feel your muscles tense as you try with all your might to move this Viking. You need to really get into this one, so that you don’t get it screwed up with “Shinto Shrine” (宮). Imagine the three lines on the top of this kanji representing sweat and stress lines from how hard you’re working to pull this Viking out of the bathtub.","Since you’ll never manage to move this Viking out of the bathtub, you decide to play cards with him instead. You’re playing poker, and you manage to be dealt one ace (えい) after another. Then, the rest of the cards are laid out, and there’s another ace, and another ace. You have 4 aces! Surely you will manage to win this hand.","Imagine yourself playing cards against this Viking. You’re pretty sure you’ll manage to win this hand with your aces, but you’re also afraid that if you beat the Viking, he’ll tear you in half. Yikes.",kanji level22
坊,monk,ぼう,-,"土, 方","Grave, Direction","The grave is in the same direction as the monk. If you’re looking for the grave, just follow the monk, they’re in the same direction.","Monks are religious people, and graves usually stir up some spiritual feelings. This monk watches over the graves, so picture yourself following him to such a grave.","You’re following this monk to the grave when all of a sudden he turns around and shoots you with a bow (ぼう). You’re not sure where he got that bow from, but now you’re dying from the arrow wound. The monk then proceeds to take your body and put it into the grave.",Imagine yourself getting shot by a monk holding a bow. See his face and hear the twang of the bowstring as the arrow enters your chest and pierces your heart.,kanji level22
罰,penalty,ばつ,ばつ,言,"Say, Ribs, Sauron","One day, Sauron will say that he wants to remove your ribs as a penalty. I’m not sure what you’re going to do to earn this penalty, but you’ll do it eventually. When you do, Sauron will come to you and say that he needs to remove all of your ribs as penalty.",Imagine Sauron removing all of your ribs. It’s very painful having them all ripped out of you. What could you have done to earn such a penalty?,"The way Sauron is removing your ribs is a two step process. First, he breaks your ribs with some baseball bats (ばつ), then he tears the ribs out of you. This is a penalty, so the process is not pleasant. It hurts enough being hit with the bats, but then after getting hit with the bats you get torn open for your broken ribs to be removed.",Feel your ribs being hit with these bats. Imagine the wind being knocked out of you multiple times as you continue to suffer many blows from bats.,kanji level22
案,plan,あん,-,"木, 安","Tree, Cheap",The cheap tree has a plan. A plan to reduce the budget deficit. The cheap tree lives cheap and has led a life of cheapness so it knows how to make a cheap plan. The cheap tree is going to reduce spending and improve life. What a great plan.,Picture this tree in a TV advertisement. Hear the tree detailing its cheap plan and how its plan is the best plan.,"This cheap tree is a woman. She is a woman with a plan and her name is Ann (あん). Ann is the cheap tree with a plan, man.",Look at Ann on the TV screen detailing her plan. Hear Ann’s leaves rustling in the soft breeze as she continues to detail her cheap plan. *Extra Hint: Same reading as 安 which is in the kanji. Convenient!,kanji level22
策,plan,さく,さく,"木, 冂, 竹","Tree, Head, Bamboo","With a bamboo tree resting atop your head, you devise a plan. The plan is actually for getting the bamboo tree off of your head. You’re trapped under it.",Imagine being trapped under this bamboo tree that is resting on your head. You’re stuck. Feel the weight of the bamboo tree pressing on your head as you try and devise a plan to get out from under it.,But why is this bamboo tree so heavy? You look to each end of the bamboo and realize that there is a sack (さく) tied on each end. Each sack seems to be filled with heavy rocks. Looks like someone made a plan to trap you here. Now you have to devise a plan to escape!,"Bamboo is usually kind of light, but this bamboo has a sack of rocks tied to each end making it heavy. Imagine yourself trying to remove this bamboo tree by pushing it up and away from you. It’s like doing a bench-press, bamboo style.",kanji level22
提,"present, submit",てい,-,"日, 正","Sun, Correct, Nailbat","Launching a nailbat at the sun with a catapult is not exactly the correct way to present a gift and submit it to the sun. You wish to appease the sun, so you want to submit a gift to gain its approval. As such, you present it with this nailbat, but do so in a manner which isn’t quite correct.","See yourself loading this nailbat into this catapult. Hear the twang as the nailbat gets launched into the air and towards the sun. This is not quite the correct way to submit a gift to the sun, so remember that the radical for correct in this kanji is modified, not quite correct.","You really want to present the sun with something awesome. So you decided to submit your favorite nailbat. But in reality, all the sun wants is some tater (てい) tots. The sun really loves tater tots, but no one knows this. Poor sun. Just wants some taters.",Pretend you are the sun. Imagine these tater tots that you just cannot get your hands on. No one will submit them to you. All you do all day is imagine what the tater tots taste like in your mouth. All tatery and tottery. Mmm… tater tots.,kanji level22
置,put,ち,お,L,"Lion, Sauron, Pope","Sauron became a pope in order to have a lion put in the Vatican. Sauron loves lions and always believed that at least one lion belonged inside the Vatican. However, in order to have one put in, he had to first become a pope.",Imagine Sauron all decked out in pope garb as his sits in his mighty pope chair and pets the lion he put in the Vatican. Pope Sauron sure is one bad dude.,"Every day, Pope Sauron will put out cheese (ち) for his lion to eat. Most lions are not so fond of cheese, but this papal lion is quite fond of it.",Imagine this lion eating cheese. See it holding a huge wedge of cheese in its mighty paws as it nibbles on the cheese.,kanji level22
